time,available_stores
2026-02-08 18:51:10-05:00,3793816
2026-02-08 18:51:20-05:00,3795359
2026-02-08 18:51:30-05:00,3798707
2026-02-08 18:51:40-05:00,3805900
2026-02-08 18:51:50-05:00,3809553
2026-02-08 18:52:00-05:00,3806859
2026-02-08 18:52:10-05:00,3807992
2026-02-08 18:52:20-05:00,3808049
2026-02-08 18:52:30-05:00,3803951
2026-02-08 18:52:40-05:00,3801971
2026-02-08 18:52:50-05:00,3776579
2026-02-08 18:53:00-05:00,3747838
2026-02-08 18:53:10-05:00,3731423
2026-02-08 18:53:20-05:00,3707769
2026-02-08 18:53:30-05:00,3686338
2026-02-08 18:53:40-05:00,3676435
2026-02-08 18:53:50-05:00,3663157
2026-02-08 18:54:00-05:00,3648694
2026-02-08 18:54:10-05:00,3640032
2026-02-08 18:54:20-05:00,3621028
2026-02-08 18:54:30-05:00,3613846
2026-02-08 18:54:40-05:00,3615986
2026-02-08 18:54:50-05:00,3637667
2026-02-08 18:55:00-05:00,3637566
2026-02-08 18:55:10-05:00,3639154
2026-02-08 18:55:20-05:00,3640685
2026-02-08 18:55:30-05:00,3645674
2026-02-08 18:55:40-05:00,3652555
2026-02-08 18:55:50-05:00,3667131
2026-02-08 18:56:00-05:00,3669184
2026-02-08 18:56:10-05:00,3672762
2026-02-08 18:56:20-05:00,3671930
2026-02-08 18:56:30-05:00,3668217
2026-02-08 18:56:40-05:00,3650561
2026-02-08 18:56:50-05:00,3646805
2026-02-08 18:57:00-05:00,3636186
2026-02-08 18:57:10-05:00,3632264
2026-02-08 18:57:20-05:00,3619501
2026-02-08 18:57:30-05:00,3615956
2026-02-08 18:57:40-05:00,3609053
2026-02-08 18:57:50-05:00,3635853
2026-02-08 18:58:00-05:00,3665255
2026-02-08 18:58:10-05:00,3680410
2026-02-08 18:58:20-05:00,3698408
2026-02-08 18:58:30-05:00,3716010
2026-02-08 18:58:40-05:00,3724713
2026-02-08 18:58:50-05:00,3733354
2026-02-08 18:59:00-05:00,3738967
2026-02-08 18:59:10-05:00,3750966
2026-02-08 18:59:20-05:00,3761238
2026-02-08 18:59:30-05:00,3766636
2026-02-08 18:59:40-05:00,3761384
2026-02-08 18:59:50-05:00,3742611
2026-02-08 19:00:00-05:00,3749183
2026-02-08 19:59:40-05:00,3840303
2026-02-08 19:59:50-05:00,3839161
2026-02-08 20:00:00-05:00,3844993
2026-02-08 20:00:10-05:00,3852088
2026-02-08 20:00:20-05:00,3857134
2026-02-08 20:00:30-05:00,3863132
2026-02-08 20:00:40-05:00,3869695
2026-02-08 20:00:50-05:00,3878136
2026-02-08 20:01:00-05:00,3896646
2026-02-08 20:01:10-05:00,3914979
2026-02-08 20:01:20-05:00,3930824
2026-02-08 20:01:30-05:00,3940838
2026-02-08 20:01:40-05:00,3939275
2026-02-08 20:01:50-05:00,3943524
2026-02-08 20:02:00-05:00,3939235
2026-02-08 20:02:10-05:00,3946389
2026-02-08 20:02:20-05:00,3956609
2026-02-08 20:02:30-05:00,3965894
2026-02-08 20:02:40-05:00,3967790
2026-02-08 20:02:50-05:00,3965289
2026-02-08 20:03:00-05:00,3971998
2026-02-08 20:03:10-05:00,3972400
2026-02-08 20:03:20-05:00,3970260
2026-02-08 20:03:30-05:00,3971814
2026-02-08 20:03:40-05:00,3967145
2026-02-08 20:03:50-05:00,3972224
2026-02-08 20:04:00-05:00,3979997
2026-02-08 20:04:10-05:00,3979796
2026-02-08 20:04:20-05:00,3981606
2026-02-08 20:04:30-05:00,3980266
2026-02-08 20:04:40-05:00,3978526
2026-02-08 20:04:50-05:00,3974257
